[2025-08-28 19:41:06] - Loading tables...
[2025-08-28 19:41:06] - Converting table xzwg_commentmeta
[2025-08-28 19:41:06] - Converting table xzwg_comments
[2025-08-28 19:41:06] - Converting table xzwg_links
[2025-08-28 19:41:06] - Converting table xzwg_options
[2025-08-28 19:41:06] - Converting table xzwg_postmeta
[2025-08-28 19:41:06] - Converting table xzwg_posts
[2025-08-28 19:41:06] - Converting table xzwg_term_relationships
[2025-08-28 19:41:06] - Converting table xzwg_term_taxonomy
[2025-08-28 19:41:06] - Converting table xzwg_termmeta
[2025-08-28 19:41:06] - Converting table xzwg_terms
[2025-08-28 19:41:06] - Converting table xzwg_usermeta
[2025-08-28 19:41:06] - Converting table xzwg_users
